name	type	description	onlinefilter	samplingrate
MLF67-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLO53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLP34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
